,Condition,PC1,PC2,PC3
0,Control,-5.621339315748347,1.433825888562694,1.9131399109565999
1,Control,-4.6927814249704545,0.8566828260277117,1.7285662707778537
2,Control,-3.4180121974781827,-0.6222169311781106,1.3521687864518097
3,Control,-4.816001268538249,0.39093263863392524,0.8134926253673461
4,Control,-4.860703510556642,-0.9513011691610745,1.0799178702573138
5,Control,-4.159791513313713,-2.08072522215371,1.346400826029518
6,Control,-3.946904037593677,-0.7544123173644878,2.79147426238261
7,Control,-4.735095328345583,5.15322678192139,3.7411406230004642
8,Control,-3.791609487605109,0.32937475014631146,1.9536068144558745
9,Control,-3.1920118992414395,-4.934883755019215,3.551336996625981
10,Control,-5.159463558312356,2.378754872045936,-1.1843601205704164
11,Control,-4.220406188464639,0.8952927274526021,2.3229990999697554
12,Control,-4.924877396263493,-0.1968189520490208,1.1730329630783913
13,Control,-4.922865431157952,1.1418465652309249,2.0891184123360875
14,Control,-4.777201699711577,0.07555425029469826,1.6186240415553796
15,Control,-4.781398302455452,1.3013556468750196,-0.35869683069177954
16,Control,-3.4156641419854403,-0.2479021579489626,0.0635234354931318
17,Control,-4.47113630651169,-0.28384239570530206,2.6223872188029613
18,Control,-3.201505801266564,-1.5157506585169986,0.49561696652863363
19,Control,-4.383667557023501,0.27042646081084104,0.05470959252845784
20,Control,-4.608946334865186,-0.08151805151269781,2.7127796531929147
21,Condition 1,-4.942153713195939,1.325798241179007,-0.7469678559900291
22,Condition 1,-4.793786271816542,0.9940196326599603,-2.0552362369027777
23,Condition 1,-4.040598401589606,1.131107372273505,-0.3031982415240644
24,Condition 1,-4.748844229216692,0.6799090386880358,-2.6239534983818475
25,Condition 1,-3.261046379229354,-0.26128991108689,-1.9897466630950507
26,Condition 1,-4.3399271520850835,-0.15981270157738342,-3.6229029537110264
27,Condition 1,-4.563992538118476,0.42596897139214185,0.24434680295101036
28,Condition 1,-4.971347944722967,0.9410831911166176,-0.3906116785492398
29,Condition 1,-2.8952280592314805,-0.365028870413928,-4.3388457243044485
30,Condition 1,-3.7438244896673925,-3.3980868898766983,1.1495681150755643
31,Condition 2,7.202844341833404,1.5158330420728454,-0.6511329047168599
32,Condition 2,8.720970912696343,-2.3212373892279756,-0.3141389715317728
33,Condition 2,5.833401781790121,-4.108512936383054,2.6987373790776674
34,Condition 2,13.302995553761702,7.104929973078159,-4.802511090503095
35,Condition 2,8.168209653898451,-4.950059973550548,-0.8518593184683204
36,Condition 2,8.72300917320164,4.35147388801778,-6.33231312137343
37,Condition 2,5.077031890336207,-2.155428941162415,-3.1810147483678883
38,Condition 2,8.178367222212351,-1.6961407991254407,-1.4329047555609309
39,Condition 2,10.769538748448225,-2.519929974912069,1.2820256820759002
40,Condition 2,4.175189022986562,0.03120242826906369,4.084835733017307
41,Condition 2,5.312048206463673,3.6832961799745276,1.5040141516551861
42,Condition 3,-5.352273537217933,-0.4289295096096203,0.09555229695517509
43,Condition 3,-3.991520818499526,-0.19344053141125392,-4.894517709458462
44,Condition 3,-4.835451338318831,2.6260068693532266,1.3835855168255562
45,Condition 3,-5.349630388566243,6.1489103852453395,-0.6562786379202319
46,Condition 3,-4.420267113134377,-0.9863137568485293,-0.5571204763666496
47,Condition 3,-4.392875524955055,-0.02464358960518229,-1.6402858068152897
48,Condition 3,-5.609598209399203,3.4660960081368493,-4.120051849295896
49,Condition 3,-5.266576982514456,1.477122979064682,-0.10014668451704288
50,Condition 3,-4.2761182495576096,-1.2934274851895995,2.645593553679646
51,Condition 3,-4.430650792944557,2.0656932789900075,-6.155867888109671
52,Condition 4,3.467217739408154,0.7670524952964163,1.2761366525251971
53,Condition 4,4.413180275678442,1.1763542544845935,2.8301105529139803
54,Condition 4,5.298483865877521,-2.917503054639006,-1.2545705607731026
55,Condition 4,6.671247844289628,-1.8829643531511293,-3.7365836511375363
56,Condition 4,7.636195402749947,-1.751017421400648,-2.455646444055287
57,Condition 4,4.437459632024949,2.951993216456758,4.039028645027496
58,Condition 4,1.500001257222996,0.28701824184345665,2.6474667715663207
59,Condition 4,4.9044584690767135,-4.024739512987176,-0.33230102694958025
60,Condition 4,4.621906174975466,0.759111089145332,1.5442204689008192
61,Condition 4,5.899936768440179,-3.9692648235962587,2.5586306888709722
62,Condition 4,7.33359061762618,2.45436591641881,4.152628044087825
63,Condition 5,-4.447363914865824,-1.4294223743436565,0.2715852063888051
64,Condition 5,-4.500045365348586,-2.461464288680744,-0.969365777222285
65,Condition 5,-3.065588401368329,0.20365617458721302,-3.8208084184375015
66,Condition 5,-3.744343949486436,0.23329684583973054,-2.607892577863541
67,Condition 5,-3.271232016532613,-4.100659735193435,-1.8103238082822042
68,Condition 5,-3.6609488850500367,-3.01706116052684,0.984409774956572
69,Condition 5,-4.950556439944061,0.8705916510598423,-2.9775195870914724
70,Condition 5,-4.006699106748448,-1.952185885098565,-2.1520624796050027
71,Condition 5,-3.570867221764896,-3.688559990846219,0.6434946152231795
72,Condition 5,-2.835922454248841,-4.73309292639112,-1.9685620567056572
73,Condition 6,3.4623862252442654,7.565038069452852,1.6533434160951073
74,Condition 6,6.778741465109803,-1.742405451613697,-3.6287567942921912
75,Condition 6,6.211033186401994,0.12659051256470394,-0.4036374322159806
76,Condition 6,9.826469284208258,5.358569587406557,-3.3546267367842595
77,Condition 6,8.080707031845144,-1.7398565969333628,-1.2789253691595055
78,Condition 6,7.572703351652346,-5.199898333755863,1.069097478708132
79,Condition 6,6.456265808303309,-3.5696554828914766,3.113807545615142
80,Condition 6,6.532401832986544,-4.175738264662539,3.224857308732657
81,Condition 6,9.835764237547844,-1.4869167954568305,0.9543270626233289
82,Condition 6,8.306077696951013,5.190134381754524,-1.3308220304878222
